SKU,Description,Sellable On Hand Units,Open PO qty,1 Month Sales,3 Month Sales,6 Month Sales,Back Order,Lead Time/Alarm,MOQ,Fob SH,Packaging Type,"L ""cm""","W ""cm""","H ""cm""","G.W.""kg""","N.W. ""kg""",Carton Qty,"Pallet Size ""cm""",Pallet Ctns,Pallet Qty,"Pallet Weight ""kg"""
13809,Auroracoin,3262,7059,7493,5860,9207,3747,9451,8424,-85746.7,you,1919,1136,5760,4170,7762,2618,966-79-6444,7904,8463,3933
90194,Zcash,8307,6089,9466,31,7548,8655,5296,196,-95.417,course,5068,7240,3214,6092,7603,2882,924-73-3111,6818,9045,7876
10310,NEO,6210,3793,1767,7521,9276,9553,452,1767,-97882289219.846,American,2125,5897,5698,3022,309,5811,936-79-5649,2808,4179,6695
79363,BlackCoin,8932,2292,1475,3987,4048,756,4057,9393,939956115296311.0,environmental,9151,5326,2625,9949,1608,1179,937-73-0507,5824,471,986
05222,Bitcoin,8994,3775,9223,2593,1566,3909,4125,7268,9065886804.768,drop,9595,112,5859,2776,5485,7861,953-83-4133,8653,2050,880
60752,Bitcoin Cash,2220,2214,663,7581,469,5553,266,1006,25601374.7509,wear,2336,2568,6126,6169,3569,244,908-85-6027,4813,4503,1033
24754,SwiftCoin,6564,3545,1139,1344,4555,3093,5205,8501,6465506838.0,score,4212,729,4852,4751,5574,271,975-82-6249,514,6218,35
20922,Namecoin,5030,4014,2634,3378,9834,4617,1591,5097,590318.67974418,fire,9455,1394,3511,4588,979,3919,959-72-9435,2948,2742,3770
42151,Sirin Labs,2017,6273,8004,8018,7867,6420,7127,7254,23478493846849.0,skin,4259,5483,1748,5503,2405,9455,933-80-7240,7375,5813,7604
94766,Auroracoin,7438,7353,427,4987,1246,8451,7303,7008,-67.410887,law,7694,5106,1511,909,1617,8971,994-98-0650,5396,956,9848
23325,TRON,1507,2467,7124,2026,4218,159,1726,805,62.169797465879,perform,8930,6643,5141,6847,4148,7379,923-83-3803,4237,7633,7968
82426,IOTA,5236,5507,2485,7576,7360,41,9812,6627,1459410.9796852,personal,3097,5226,30,6974,5789,5540,946-78-8866,1557,5813,7150
65092,Nxt,6763,7093,8965,7883,3208,386,2467,5480,975920568.7,career,8711,356,1884,3794,2091,2890,987-98-7596,3755,8867,8903
34896,EOS.IO,4102,8538,2302,5223,369,9803,5355,1066,892.26856136,have,5446,8858,9263,2804,4096,6132,986-76-9621,9933,8534,630
53783,Zcash,4399,7058,8712,6788,1873,8624,8606,8769,-9265990.88466,whether,4344,6188,5748,1921,9127,8613,972-84-6567,1654,5731,1426
41158,Lisk,4140,3403,7242,7014,3718,5268,9812,4956,-88.891672,without,8771,1181,3392,5086,8996,716,928-70-0594,4850,275,1749
28278,Burstcoin,2899,7670,2733,809,3429,56,7454,2774,-5392.6443,seven,4447,4591,1069,5608,7541,9290,954-91-6115,7664,4577,7831
14361,Dogecoin,6539,7534,8264,2954,970,9250,1254,7,7353065706.0,effect,9831,4383,485,2010,3344,58,963-98-1783,737,9730,8520
01344,Omni,8413,1389,4614,9662,1483,8409,1820,6003,-90.890383103164,doctor,6951,7904,352,4228,8842,5450,939-86-8203,2676,8861,3854
89440,Feathercoin,9552,417,9398,3446,3810,325,2102,8279,-283892094.3505,only,8662,1130,196,4975,2824,6565,978-97-8694,8171,5747,5936
48329,Burstcoin,3576,660,7250,9865,7476,6208,6016,947,-9448349217929.19,check,8941,946,8210,3803,1250,7485,961-95-0891,4755,4846,4811
18100,Emercoin,8738,9008,9100,8387,3429,3654,3182,3062,-3002372.84561001,talk,391,2580,8589,2725,6512,849,958-98-3789,2405,8624,3072
69164,SwiftCoin,9212,3901,4211,3878,6260,4356,9408,463,4753523.2572428,ahead,7629,8529,7999,6960,8015,2001,931-81-6686,5857,4805,3240
00795,Gridcoin,5441,4576,3615,1125,9600,8703,8538,3872,-41.6963053637,various,1555,349,6987,8210,516,5076,910-88-7857,4573,317,2665
88182,BlackCoin,9659,4948,7508,4846,1391,2420,968,9345,2083223.1825494,deep,1225,6959,9728,2037,6809,4304,953-78-6810,9085,5811,769
42718,Ripple,4362,8613,5924,2751,3761,3668,9892,7889,42472.8024,which,8383,6504,8932,1536,1093,519,913-71-2386,1866,4205,624
12986,Nxt,6691,1233,1541,8931,8058,7825,4592,5748,-95842255933.8833,be,2288,2704,7788,702,2858,348,903-85-9295,1976,5740,7363
95379,Ripple,215,4422,6313,8036,9820,4259,8782,884,-7893531.806,born,6720,5952,7409,2376,6370,1257,923-91-9792,5406,9540,8237
69654,Decred,6011,6935,9129,4220,5493,3748,1872,9367,-95.82099,off,2872,5406,7775,6272,6221,8008,931-90-2956,1943,8055,2424
45706,PotCoin,2486,6721,1392,2654,1323,7220,3235,2509,-411.6649619875,while,9887,7879,9828,9309,2634,9186,954-96-5405,7645,331,8324
75421,Dogecoin,5971,9515,4037,9009,5728,2266,9924,3613,-2169462790.0,from,8761,9440,6157,9344,2452,3670,961-72-7965,2341,185,326
23120,Tether,2717,1852,5667,7313,4937,2102,1590,3031,-9239.253853,consumer,7935,699,6407,2519,8905,8610,988-90-9507,708,2415,6086
18381,Burstcoin,7936,3999,2905,3333,9949,6829,9819,2690,26247568260179.1,thus,6385,9547,7871,5545,5633,2657,926-97-3522,5287,9842,9960
06899,Lisk,168,5550,4973,7841,3982,336,222,7629,666997.84782,themselves,7545,498,736,1405,7166,6999,905-82-5090,1626,5120,149
91637,PotCoin,9168,1694,5801,2300,9846,8440,734,9166,-572.4656,sell,7393,5687,443,6552,7097,5741,969-90-5816,1902,6310,1647
58667,Monero,9680,2108,5045,1630,9130,5458,1909,3015,-8822.0,half,8761,4618,6876,3593,9943,5877,969-72-7372,9431,7352,7833
86104,DigitalNote,3120,8568,4711,2051,5714,3993,2117,4867,-32665175749281.6,rather,5060,1945,5188,9978,9116,9982,965-90-1625,9189,6608,2387
50758,MazaCoin,6102,8203,4909,3951,4544,8862,283,8464,-66.76,use,5769,5788,4319,8905,9221,7327,951-73-8380,720,6134,1549
