SKU,Description,Sellable On Hand Units,Open PO qty,1 Month Sales,3 Month Sales,6 Month Sales,Back Order,Lead Time/Alarm,MOQ,Fob SH,Packaging Type,"L ""cm""","W ""cm""","H ""cm""","G.W.""kg""","N.W. ""kg""",Carton Qty,"Pallet Size ""cm""",Pallet Ctns,Pallet Qty,"Pallet Weight ""kg""",Shipping Date,Shipping PO Number,Shipping Quantity,In Cost/Unit,Shipping Amount,Received,Shipping Date Received,Vendor,Sales PO Number,Sales Quantity,Sales Date,Sales Amount
85664,Primecoin,9551,7514,5302,2237,8405,7025,2896,5578,8444471419.854,mouth,9450,7378,5590,2881,9023,3165,some,7281,5472,8013,available,1882,5218,9066,-8622.653,True,commercial,institution,2666,5854,across,4486431.0
06196,Namecoin,7886,2803,7231,1725,5682,3969,6396,5848,5703.396226928,window,51,9312,9694,3504,6771,5273,go,3051,5528,7577,officer,490,4907,5516,-64072334667043.0,True,national,hundred,6350,9534,alone,468955.0
93019,Cardano,2520,7842,6235,9042,1616,361,3676,9147,89450452.1287,teacher,5531,4125,2045,9189,5782,8868,agency,2063,979,7913,policy,5738,7668,7255,366539959062.391,True,push,name,2558,218,listen,-8480964416.0
03105,Titcoin,894,1167,7021,4166,8108,4005,5007,7987,-6.516965272196,shoulder,9210,1591,5073,6167,4009,5464,alone,9161,5616,6271,success,8911,4901,3151,3254886779.1,True,trial,involve,9986,3703,cut,-394981580005.25
48508,Ubiq,2436,7632,8280,6091,6793,1709,1633,1625,2102.5711,prepare,1673,647,4560,2416,9618,3991,nice,1963,7644,6116,bar,160,5040,9381,-85136694.0,False,move,million,8948,3199,cost,48649.940326
07440,Nxt,3043,5677,9633,6057,1964,2970,6743,3897,-6.66,until,7198,619,6229,6279,4286,9509,PM,4566,8790,4338,low,9856,1779,2350,775478298.306695,False,nothing,group,6402,8330,site,-95.6100074722431
27878,Dash,5140,7053,7094,1409,8574,4666,7563,7017,3685166.8,wait,7003,5080,5981,2134,7283,1559,according,4057,399,6015,perhaps,630,4554,9616,268640.432985507,False,necessary,approach,9313,6661,clear,1269.928128
38538,Coinye,1087,1152,4544,3613,2828,7027,61,6609,-9281780159346.0,record,6117,8486,2912,2864,5567,2411,common,5820,3446,1254,however,6807,186,4771,-625846554.41471,True,develop,everyone,513,2669,hospital,-4787210155.1
32312,Gridcoin,9964,3431,3612,9886,2636,2656,1457,7140,-820.2310449,customer,3958,3000,9544,2561,9197,3279,high,7380,738,3484,debate,2175,4369,3928,-622.652144200656,True,style,appear,7812,68,goal,-6228730834.4
31055,Auroracoin,855,5481,451,8987,6649,8198,8261,332,82744.41,deep,6243,3520,2655,2638,5629,5628,market,5127,5434,1187,real,8649,5671,1322,-26231160.0,False,against,happy,9577,2148,throw,20823004995.7
12105,Gridcoin,1733,9874,8716,319,7960,4210,5798,3048,895560.9,six,37,4754,6304,6237,7722,2264,long,2579,6762,596,card,3979,8632,9448,2258.2364,False,blue,major,7147,8576,speak,5.649437
14612,TRON,7746,9654,9408,8004,6444,7241,5956,3207,81.177145,design,8988,8010,66,5122,5061,554,foot,1092,1712,33,force,854,9073,4543,54302730.9673749,False,benefit,rise,48,9610,hot,823176529.747
12322,Nxt,96,246,8845,1011,592,2307,3391,4846,4453.583849575,able,5229,767,502,9671,4789,92,standard,2365,5096,8050,likely,8878,200,9595,-19506.902613881,False,adult,loss,7116,7272,region,573674609.78698
64897,Lisk,7460,7673,6291,3400,2674,9665,5507,381,-63881535457489.0,there,554,1831,1930,3464,4582,6917,then,156,3159,6079,dinner,1193,4127,7667,-1108413587.83658,False,structure,coach,7162,6314,store,-3446844786471.0
73593,PotCoin,9332,5854,9895,9238,3043,4874,1580,9185,-1579568560654.7,several,535,7734,1588,3225,6260,4095,want,4905,1057,93,positive,5935,2402,895,42.895,False,speak,establish,5437,4559,water,8.250828
64484,DigitalNote,9217,5198,1646,4987,6040,5069,2675,6022,-8629711.42444648,safe,7381,9233,761,6512,2418,7435,feel,9147,3531,6222,alone,8543,4115,8136,-74011.768093045,False,body,state,1846,2699,manager,11074141511.5358
36403,PotCoin,9913,9714,6737,9379,9878,1331,6265,5771,-621.9,year,7224,3444,7331,4226,8099,9694,upon,2375,3321,8574,family,2782,2562,4107,61669692966.6,False,write,hospital,2267,1194,generation,-76324642.6
36037,XEM,4943,7794,6421,3977,5402,7242,7675,7523,-945249004.1624,yard,7217,9090,9597,2108,3328,3107,feeling,5138,9877,5893,begin,6544,4264,142,1370.44261116801,True,candidate,factor,8738,6146,wonder,5933.22544
87999,Coinye,4857,8900,9262,6491,2382,9644,2041,9003,-34959124712.97,herself,5909,3094,7032,213,9039,7242,senior,6827,6544,6146,travel,9569,9890,6132,-407973934471.0,False,interesting,church,2236,629,size,966001801284411.0
90147,Auroracoin,4706,190,5660,3865,3461,749,7926,6215,-54422058653451.4,difference,325,623,6786,7239,3555,8697,history,4378,7501,2996,whom,3146,805,3772,91518.0,False,they,three,2526,5168,would,-69980.33
64322,Ethereum Classic,6216,5088,1269,1415,7490,2230,701,607,5907999763499.0,often,663,2272,2159,6427,635,9305,so,3111,5372,5386,everyone,7684,4973,6035,4167076.818,False,film,ability,1949,6200,notice,701307987373226.0
40434,Omni,7820,6174,3095,3385,6300,5178,6905,8049,-6816526516.8,possible,2265,4995,1716,6734,9548,287,few,1328,9865,7654,century,2036,4973,5261,-17443528719.949,True,hour,wait,5996,6860,daughter,7652652.7
61948,Titcoin,4975,301,8617,9740,800,5276,4610,1555,-2344425.295,vote,1673,5258,2799,3900,5205,1420,similar,9036,8684,1808,this,8306,2795,9691,-6343347800.64,False,still,ten,9539,3910,religious,-8980032003949.5
72454,Zcash,3843,2752,1458,4810,2482,9737,8915,7408,-27363718.6,maybe,9394,9371,6899,3453,9623,4580,keep,1523,8150,8326,commercial,8128,5766,8575,-73.79983895,False,many,north,4004,2952,to,6850.8351
